,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,state,time
112,-33.79,150.006,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,306.2,167.7,D,New South Wales,2019-12
113,-33.832,149.998,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,86,6.0NRT,303.3,52.1,D,New South Wales,2019-12
114,-33.834,150.014,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,77,6.0NRT,301.1,36.8,D,New South Wales,2019-12
115,-33.836,150.029,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,84,6.0NRT,299.3,45.6,D,New South Wales,2019-12
116,-33.838,150.045,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,79,6.0NRT,299.0,43.6,D,New South Wales,2019-12
117,-33.839,150.06,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,81,6.0NRT,301.4,45.9,D,New South Wales,2019-12
118,-33.835,150.069,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,15,6.0NRT,300.5,26.6,D,New South Wales,2019-12
119,-33.84,150.021,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,90,6.0NRT,303.3,62.6,D,New South Wales,2019-12
120,-33.842,150.037,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,77,6.0NRT,302.3,56.0,D,New South Wales,2019-12
121,-33.843,150.052,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,91,6.0NRT,303.2,77.9,D,New South Wales,2019-12
122,-33.856,150.065,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,87,6.0NRT,301.5,53.4,D,New South Wales,2019-12
123,-33.857,150.081,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,89,6.0NRT,301.7,62.7,D,New South Wales,2019-12
124,-33.9,150.073,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,91,6.0NRT,305.4,73.2,D,New South Wales,2019-12
125,-33.901,150.089,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,83,6.0NRT,301.9,47.2,D,New South Wales,2019-12
126,-33.91,150.072,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,76,6.0NRT,299.8,32.5,D,New South Wales,2019-12
127,-34.2,150.029,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,63,6.0NRT,294.9,21.8,D,New South Wales,2019-12
128,-34.204,150.02,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,80,6.0NRT,297.5,33.0,D,New South Wales,2019-12
129,-34.206,150.037,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,23,6.0NRT,297.9,16.1,D,New South Wales,2019-12
130,-34.211,149.987,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,93,6.0NRT,305.4,84.4,D,New South Wales,2019-12
131,-34.213,150.003,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,304.4,162.4,D,New South Wales,2019-12
132,-34.214,150.019,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,299.9,149.6,D,New South Wales,2019-12
133,-34.216,150.035,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,66,6.0NRT,295.3,26.6,D,New South Wales,2019-12
134,-34.22,149.971,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,84,6.0NRT,302.2,85.0,D,New South Wales,2019-12
135,-34.222,149.986,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,85,6.0NRT,301.4,75.5,D,New South Wales,2019-12
136,-34.264,150.281,very low,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,50,6.0NRT,289.3,28.1,D,New South Wales,2019-12
137,-34.266,150.297,very low,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,65,6.0NRT,280.2,30.7,D,New South Wales,2019-12
138,-34.24,149.953,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,295.9,164.3,D,New South Wales,2019-12
139,-34.241,149.969,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,310.3,608.0,D,New South Wales,2019-12
140,-34.25,149.951,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,294.6,162.0,D,New South Wales,2019-12
141,-34.252,149.966,moderate,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,310.8,745.2,D,New South Wales,2019-12
142,-34.254,149.982,low,1.4,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,69,6.0NRT,299.1,34.1,D,New South Wales,2019-12
143,-34.872,150.212,low,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,70,6.0NRT,296.7,46.2,D,New South Wales,2019-12
144,-34.88,150.295,low,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,52,6.0NRT,293.8,44.1,D,New South Wales,2019-12
145,-34.879,150.178,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,93,6.0NRT,301.2,95.9,D,New South Wales,2019-12
146,-34.888,150.161,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,65,6.0NRT,301.1,77.2,D,New South Wales,2019-12
147,-34.938,150.219,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,100,6.0NRT,300.2,145.7,D,New South Wales,2019-12
148,-34.94,150.212,low,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,86,6.0NRT,299.4,83.5,D,New South Wales,2019-12
149,-34.942,150.23,low,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,82,6.0NRT,297.4,69.1,D,New South Wales,2019-12
150,-34.949,150.193,low,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,76,6.0NRT,299.8,59.9,D,New South Wales,2019-12
151,-34.955,150.143,low,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,81,6.0NRT,297.1,40.9,D,New South Wales,2019-12
152,-34.957,150.159,moderate,1.5,1.2,2019-12-29,1970-01-01 00:00:00.000000025,T,94,6.0NRT,304.0,88.4,D,New South Wales,2019-12
