,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,radiative_power,daynight,state
1668,2858,27809,27809,-36.117,149.52,high,1.0,1.0,2020-01-04,400,A,100,6.0NRT,310.6,94.7,D,New South Wales
1669,4513,1636,1636,-34.219,150.018,very low,1.7,1.3,2019-12-29,1225,T,100,6.0NRT,280.2,73.1,N,New South Wales
1670,1427,10300,10300,-31.507,151.311,high,1.1,1.0,2019-12-31,10,T,100,6.0NRT,312.3,87.5,D,New South Wales
1671,2750,2276,2276,-28.897,128.97,moderate,1.0,1.0,2019-12-29,1405,T,49,6.0NRT,302.5,7.5,N,Western Australia
1672,2727,28587,28587,-35.686,149.864,very high,1.0,1.0,2020-01-04,400,A,100,6.0NRT,333.4,463.0,D,New South Wales
1673,4797,19585,19585,-32.427,123.566,high,1.3,1.1,2020-01-02,555,A,100,6.0NRT,318.6,158.2,D,Western Australia
1674,968,21526,21526,-37.641,148.792,low,1.0,1.0,2020-01-02,1520,A,100,6.0NRT,292.0,36.3,N,Victoria
1675,3965,27380,27380,-36.641,148.133,very low,1.0,1.0,2020-01-04,400,A,0,6.0NRT,286.1,26.5,D,Victoria
1676,702,23460,23460,-37.057,147.201,very low,1.4,1.2,2020-01-03,1245,T,83,6.0NRT,286.7,19.2,N,Victoria
1677,905,24747,24747,-19.248,146.101,low,1.6,1.2,2020-01-03,1555,A,83,6.0NRT,292.4,18.9,N,Queensland
1678,2454,30833,30833,-35.839,147.575,moderate,1.8,1.3,2020-01-04,1325,T,100,6.0NRT,301.3,347.3,N,New South Wales
1679,66,12423,12423,-31.42,152.068,low,1.8,1.3,2019-12-31,1215,T,89,6.0NRT,294.6,24.3,N,New South Wales
1680,1753,11269,11269,-29.017,128.272,high,1.2,1.1,2019-12-31,150,T,89,6.0NRT,313.4,44.3,D,Western Australia
1681,1003,3543,3543,-32.063,115.923,moderate,1.6,1.2,2019-12-30,245,T,38,6.0NRT,301.6,12.5,D,Western Australia
1682,3265,26111,26111,-37.422,149.61,low,1.0,1.0,2020-01-04,400,A,93,6.0NRT,290.1,105.6,D,Victoria
1683,3862,6688,6688,-37.175,148.17,moderate,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,301.7,178.6,N,Victoria
1684,749,2176,2176,-30.877,123.638,moderate,2.0,1.4,2019-12-29,1405,T,100,6.0NRT,307.1,491.8,N,Western Australia
1685,3164,16472,16472,-32.542,150.247,low,1.1,1.1,2020-01-01,1255,T,100,6.0NRT,295.7,41.3,N,New South Wales
1686,878,19148,19148,-30.461,151.044,high,2.0,1.4,2020-01-02,415,A,44,6.0NRT,310.7,37.5,D,New South Wales
1687,1411,2925,2925,-37.745,149.422,low,2.2,1.4,2019-12-29,1540,A,100,6.0NRT,295.7,101.5,N,Victoria
1688,281,18805,18805,-35.645,150.146,low,1.4,1.2,2020-01-02,415,A,0,6.0NRT,298.2,32.0,D,New South Wales
