,Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,state
26658,26658,-37.028,148.105,very high,1.0,1.0,2020-01-04,400,A,100,6.0NRT,327.9,359.8,D,Victoria
11480,11480,-36.361,147.837,moderate,1.5,1.2,2019-12-31,425,A,83,6.0NRT,301.2,66.0,D,Victoria
19047,19047,-34.858,150.386,moderate,1.5,1.2,2020-01-02,415,A,91,6.0NRT,302.4,76.4,D,New South Wales
21431,21431,-37.436,147.909,very low,1.0,1.0,2020-01-02,1520,A,97,6.0NRT,287.2,18.3,N,Victoria
19074,19074,-34.313,150.259,moderate,1.5,1.2,2020-01-02,415,A,25,6.0NRT,304.4,24.1,D,New South Wales
34188,34188,-32.263,123.269,low,1.7,1.3,2020-01-05,1410,T,95,6.0NRT,292.9,32.7,N,Western Australia
18877,18877,-35.842,148.315,moderate,1.1,1.1,2020-01-02,415,A,95,6.0NRT,303.3,66.2,D,New South Wales
31231,31231,-32.099,151.345,moderate,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,300.2,14.5,N,New South Wales
10834,10834,-35.022,150.092,high,1.1,1.0,2019-12-31,10,T,89,6.0NRT,312.5,33.0,D,New South Wales
17889,17889,-30.927,123.567,high,1.4,1.2,2020-01-02,135,T,96,6.0NRT,310.8,81.2,D,Western Australia
1625,1625,-34.269,150.194,low,1.6,1.3,2019-12-29,1225,T,39,6.0NRT,294.1,11.0,N,New South Wales
5662,5662,-37.561,148.278,very high,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,360.4,0.0,N,Victoria
318,318,-24.701,127.212,high,1.4,1.2,2019-12-29,200,T,78,6.0NRT,315.2,21.1,D,Western Australia
15743,15743,-36.971,147.352,very low,1.0,1.0,2020-01-01,1255,T,96,6.0NRT,283.6,19.9,N,Victoria
33491,33491,-33.201,150.304,moderate,1.8,1.3,2020-01-05,30,T,85,6.0NRT,300.1,82.2,D,New South Wales
6262,6262,-37.37,148.316,low,1.1,1.0,2019-12-30,1310,T,66,6.0NRT,299.4,4.7,N,Victoria
32936,32936,-37.36,149.462,low,1.0,1.0,2020-01-04,1505,A,100,6.0NRT,294.9,148.0,N,Victoria
8904,8904,-34.978,150.452,low,1.6,1.2,2019-12-30,1445,A,75,6.0NRT,297.2,24.3,N,New South Wales
15537,15537,-37.396,149.143,low,1.0,1.0,2020-01-01,1255,T,100,6.0NRT,291.7,82.4,N,Victoria
26230,26230,-37.359,149.594,very low,1.0,1.0,2020-01-04,400,A,100,6.0NRT,288.9,219.8,D,Victoria
30313,30313,-37.306,149.268,very low,2.1,1.4,2020-01-04,1325,T,87,6.0NRT,288.1,138.4,N,Victoria
15332,15332,-37.46,149.656,very low,1.0,1.0,2020-01-01,1255,T,88,6.0NRT,287.2,14.0,N,Victoria
6413,6413,-37.357,148.005,moderate,1.1,1.0,2019-12-30,1310,T,100,6.0NRT,302.1,52.4,N,Victoria
34308,385,-25.363,130.037,moderate,2.2,1.4,2019-12-29,200,T,43,6.0NRT,309.6,43.1,D,Northern Territory
13497,13497,-37.756,149.285,very low,1.4,1.2,2019-12-31,1530,A,36,6.0NRT,284.2,16.7,N,Victoria
30871,30871,-34.779,150.389,very low,2.8,1.6,2020-01-04,1325,T,49,6.0NRT,285.6,73.6,N,New South Wales
